Line in Christus Patiens,Work ID,Line in work,Number of words matching
1166,11,52,0
1167,5,1143,1
1170,11,62,4
1172,11,37,5
1174,11,38,5
1176,11,59,2
1178,11,60,7
1179,11,63,6
1180,11,67,6
1181,11,68,4
1182,11,69,2
1183,11,70,2
1184,11,71,2
1185,11,72,5
1186,11,73,7
1189,11,78,3
1190,11,79,5
1193,11,74,0
1193,11,75,0
1194,11,76,4
1195,11,77,6
1196,11,93,1
1197,11,94,2
1198,11,95,7
1200,11,395,7
1201,11,396,1
1202,11,398,3
1206,11,1218,2
1207,11,1219,4
1209,11,1167,3
1213,14,794,3
1214,14,795,3
1215,14,796,2
1218,11,1198,1
1218,11,1199,0
1218,5,742,0
1219,14,790,1
1220,11,1202,6
1223,11,1204,1
1224,11,1205,0
1225,11,1206,4
1227,11,1207,2
1231,11,1211,6
1232,11,1212,1
1233,11,1213,5
1234,8,1181,2
1235,8,1182,5
1238,11,1416,0
1238,11,1418,2
1241,11,80,7
1242,11,81,5
1243,11,90,2
1244,11,91,2
1244,11,101,3
1245,11,102,4
1246,11,103,3
1247,11,765,2
1249,14,52,2
1250,11,54,2
1251,11,55,5
1257,11,1349,0
1259,11,38,3
1263,5,1213,0
1264,5,1214,0
1265,5,1215,2
1266,11,321,3
1267,11,322,6
1273,11,1377,6
1274,11,1412,2
1275,11,1244,6
1276,8,606,5
1277,11,1378,4
1280,11,1380,4
1281,11,1381,1
1282,14,904,5
1283,14,905,2
1284,8,1261,6
1284,8,1262,0
1285,8,1262,4
1286,8,1263,4
1287,5,844,1
1288,8,1264,4
1289,1,583,2
1290,8,1250,5
1291,8,1251,5
1292,8,1252,3
1293,8,1253,5
1294,8,1254,4
1295,5,973,2
1297,11,1377,1
1297,11,1412,1
1298,11,1127,6
1299,11,1128,5
1300,5,1147,0
1301,8,1431,1
1302,8,1432,2
1303,8,1445,4
1304,14,7,3
1305,6,500,1
1306,5,973,4
1309,11,1244,6
1310,5,1280,3
1314,11,1069,1
1315,11,1069,0
1315,11,1070,0
1316,8,1097,4
1317,11,1413,1
1318,11,1414,1
1319,11,1070,4
1320,11,496,3
1320,11,1071,3
1321,6,398,2
1321,11,1213,2
1322,11,1071,5
1323,11,1072,5
1324,11,1074,2
1325,11,1075,5
1326,8,1391,6
1327,8,1392,3
1328,11,1208,2
1329,11,1209,1
1330,11,1210,4
1331,2,750,2
1331,2,751,1
1332,11,1183,5
1334,15,758,5
1335,15,759,2
1336,15,760,6
1337,17,2,3
1338,14,915,9
1339,14,916,5
1340,11,475,6
1341,14,917,2
1342,5,1314,2
1343,5,1315,2
1344,14,918,3
1347,14,926,0
1348,14,928,2
1349,14,929,0
1350,14,930,1
1364,11,1030,3
1364,15,760,3
1367,14,933,2
1368,14,935,2
1369,14,936,5
1371,14,937,2
1373,14,948,1
1374,14,948,2
1375,14,949,1
1376,14,949,6
1378,14,959,4
1379,14,960,2
1383,15,1234,7
1384,5,443,0
1385,5,443,0
1386,5,444,3
1387,14,943,4
1388,14,944,1
1389,14,944,1
1392,14,946,5
1393,14,947,0
1395,17,974,3
1397,17,975,3
1398,17,957,3
1399,17,982,3
1400,14,943,1
1400,14,944,1
1406,14,956,1
1411,14,940,4
1429,8,779,4
1430,5,1111,3
1431,5,1112,5
1432,5,1113,4
1434,8,1169,4
1435,8,1170,5
1436,8,1172,3
1437,5,995,2
1438,14,516,3
1440,14,517,4
1441,14,720,3
1443,14,250,0
1445,8,614,3
1446,14,877,3
1447,15,1246,4
1448,15,1247,6
1450,15,1248,6
1451,15,1249,5
1452,15,1250,5
1453,8,1458,4
1454,11,1412,0
1455,5,1226,3
1456,14,887,2
1456,14,888,1
1457,1,1485,0
1457,1,1486,2
1458,1,1487,5
1459,1,1488,4
1460,1,1489,2
1461,1,1490,5
1462,1,784,0
1462,1,785,2
1463,1,1491,5
1464,1,1492,1
1469,11,1071,2
1469,11,1072,1
1471,5,9999,1
1473,5,1135,0
1474,11,1277,5
1475,11,1278,3
1476,8,786,1
1477,8,787,2
1478,8,1265,5
1481,8,1345,2
1481,8,1346,1
1482,8,1462,4
1483,8,1462,3
1483,8,1463,1
1485,5,1216,3
1486,5,1218,1
1487,5,1219,2
1488,5,1221,2
1489,8,1358,4
1490,8,1359,3
1491,8,1361,4
1493,8,1098,1
1495,8,1098,1
1496,8,1099,4
1497,8,1100,3
1498,8,1101,5
1499,11,1076,4
1505,11,1234,3
1505,11,1235,1
1506,5,955,3
1507,6,1,1
1507,11,1234,0
1508,15,66,1
1509,6,1,1
1509,11,1235,5
1512,5,53,4
1513,6,1,0
1513,11,1234,2
1514,15,741,5
1515,15,742,5
1516,15,743,5
1517,15,744,7
1518,15,1227,3
1518,15,1228,1
1519,6,1,1
1519,11,1234,2
1520,15,66,1
1521,5,967,1
1522,5,960,3
1524,5,962,3
1525,5,963,3
1526,5,964,2
1529,5,655,3
1531,5,972,2
1532,15,753,3
1533,5,4,1
1533,15,754,1
1534,15,752,1
1535,5,1031,1
1536,5,4,0
1536,5,52,0
1536,5,54,2
1537,11,1234,3
1539,5,13,1
1539,5,15,1
1540,5,20,2
1543,5,54,1
1543,5,4,1
1543,5,52,0
1545,5,2,0
1546,5,4,3
1547,5,26,3
1549,5,472,2
1550,5,27,4
1551,5,28,4
1552,5,31,1
1553,5,29,3
1555,5,30,4
1556,5,489,1
1557,5,232,0
1558,5,231,5
1559,5,232,0
1560,11,749,1
1560,11,1357,2
1561,5,213,1
1563,5,21,1
1564,5,22,2
1564,5,47,1
1565,5,48,4
1566,5,49,1
1567,5,39,8
1568,5,40,2
1570,5,45,5
1571,5,46,6
1572,11,59,2
1574,11,47,3
1575,5,50,2
1576,5,51,3
1577,5,52,1
1582,5,7,5
1583,5,8,2
1584,5,9,2
1585,5,10,4
1586,5,11,1
1587,5,13,2
1588,5,14,5
1589,5,15,5
1590,5,16,4
1592,5,17,7
1593,5,18,4
1594,5,19,4
1595,5,20,6
1597,15,1317,5
1598,5,1202,4
1599,5,120,2
1601,5,1027,2
1602,5,55,3
1603,5,56,3
1603,5,57,2
1606,5,58,2
1607,5,71,0
1608,5,69,0
1608,5,70,0
1609,11,743,2
1610,11,1076,5
1611,11,1077,2
1613,12,136,1
1614,5,116,2
1614,5,117,0
1620,14,164,6
1629,14,519,4
1629,14,520,1
1634,5,1316,5
1635,5,1317,4
1636,8,1097,4
1637,14,754,3
1639,14,754,2
1645,15,359,3
1646,15,358,3
1647,15,360,4
1648,1,750,0
1648,5,1025,2
1649,5,1026,2
1650,5,1026,1
1652,15,396,2
1654,5,449,4
1655,5,450,1
1656,15,395,4
1658,15,397,4
1660,15,399,3
1661,14,938,2
1663,15,390,3
1668,5,492,2
1669,5,1354,0
1669,5,1369,0
1670,5,1355,2
1671,5,1356,2
1674,5,9999,
1675,5,9999,
1676,5,9999,
1678,5,1335,2
1679,5,1336,2
1680,5,1333,3
1681,5,1337,1
1682,5,1338,1
1683,5,1335,1
1684,5,1360,2
1685,5,1340,5
1693,8,779,1
1695,5,1360,1
1696,5,1361,6
1697,5,1362,2
1699,11,1187,2
1700,5,1352,3
1701,5,1353,1
1702,5,1354,4
1703,5,1366,3
1704,15,1277,3
1705,15,1278,4
1706,5,1368,4
1706,5,1369,1
1707,5,1369,1
1708,5,1356,1
1711,5,1355,1
1712,5,1327,3
1713,5,1327,1
1714,5,1328,4
1716,14,399,4
1717,14,400,2
1719,14,401,1
1720,14,403,3
1721,14,406,1
1722,14,407,1
1723,14,408,2
1724,14,409,4
1725,14,410,3
1726,14,411,3
1728,14,443,3
1730,14,444,0
1731,14,447,5
1732,14,448,1
1732,14,449,1
1733,14,450,1
1734,14,503,2
1735,14,504,1
1736,14,505,0
1737,14,506,6
1738,14,507,0
1741,14,413,4
1742,14,414,4
1743,14,416,2
1744,14,417,6
1745,14,418,5
1747,14,439,5
1748,14,416,4
1749,14,415,0
1751,11,267,0
1752,5,1338,0
1754,5,1339,4
1755,15,1267,1
1756,5,1369,0
1758,5,4,0
1759,5,4,0
1760,5,1332,4
1761,14,952,1
1766,14,206,7
1767,14,330,1
1768,14,331,5
1769,11,340,2
1773,14,975,6
1775,14,968,2
1776,14,973,3
1777,14,974,2
1778,14,975,5
1779,14,983,1
1780,14,984,4
1781,14,985,4
1783,14,991,3
1784,14,992,4
1785,14,464,2
1786,14,464,2
1788,5,360,3
1789,5,361,5
1790,5,362,6
1791,5,363,1
1794,11,1277,1
1801,5,389,3
1801,5,390,1
1803,5,390,2
1804,5,391,0
1806,14,663,8
1807,14,664,4
1808,14,665,5
1809,14,667,0
1810,5,732,1
1811,5,733,2
1812,5,732,3
1813,14,519,2
1813,14,520,1
1815,14,518,4
1818,8,569,2
1819,14,770,1
1820,14,555,2
1820,14,556,0
1821,6,1037,2
1822,8,570,0
1823,11,1008,0
1824,11,1008,1
1826,17,2,3
1829,8,844,0
1829,8,845,1
1829,8,875,0
1830,8,598,3
1831,14,554,3
1831,14,555,1
1833,5,683,2
1834,5,694,6
1835,5,684,3
1836,5,685,1
1836,5,686,0
1840,14,824,2
1845,5,678,1
1846,5,679,4
1850,14,555,1
1850,14,556,1
1851,14,770,4
1852,14,763,0
1853,14,825,3
1855,14,532,3
1860,8,1151,3
1861,8,1152,2
1862,11,270,2
1862,15,708,2
1863,8,1153,1
1863,8,1154,1
1864,8,1154,4
1865,8,1155,5
1866,8,1156,1
1868,8,1157,4
1869,8,1158,2
1870,14,52,6
1871,8,1160,7
1874,14,656,8
1875,14,657,3
1876,14,658,6
1877,14,659,4
1878,14,658,1
1878,14,659,1
1880,11,71,3
1883,14,660,3
1888,11,1078,2
1890,5,1260,2
1891,5,1261,1
1892,5,1262,1
1905,13,727,2
1908,14,587,4
1909,14,588,1
1910,14,125,2
1910,14,589,1
1911,14,2,0
1913,14,141,3
1913,14,92,0
1916,14,130,3
1917,14,141,4
1918,15,860,0
1920,8,1416,5
1921,8,1418,2
1925,14,185,2
1927,14,179,0
1928,5,443,0
1929,5,444,3
1930,5,838,5
1931,14,147,6
1932,14,148,4
1933,14,149,3
1934,14,150,1
1935,14,151,3
1941,14,154,5
1942,14,155,1
1943,14,156,0
1944,14,223,6
1945,14,157,4
1946,11,719,2
1947,14,159,0
1947,14,160,1
1949,14,126,2
1950,14,124,0
1951,14,465,0
1964,14,161,4
1965,14,162,4
1966,14,163,6
1968,14,164,4
1969,14,339,7
1970,14,164,1
1970,14,165,2
1972,14,181,4
1973,14,189,2
1973,11,947,3
1974,11,948,7
1975,14,196,1
1976,11,460,3
1978,14,175,1
1979,14,667,3
1980,14,570,6
1981,14,571,4
1982,11,688,4
1985,11,974,3
1986,11,975,0
1987,11,866,2
1988,11,867,6
1994,5,692,3
1995,14,532,3
1996,14,8,3
1997,14,534,4
1998,14,535,3
1998,14,537,2
1999,14,554,4
1999,14,555,2
2000,14,555,1
2000,14,556,1
2001,14,555,1
2002,14,770,1
2003,14,824,2
2003,14,42,3
2004,14,582,1
2005,14,596,0
2006,14,582,3
2007,5,692,4
2008,14,582,1
2008,12,136,1
2009,14,594,2
2010,14,991,3
2011,14,992,5
2013,5,1086,3
2014,5,1090,4
2015,5,1091,2
2016,5,1088,1
2017,5,1089,2
2018,5,693,4
2021,6,32,3
2023,11,1397,1
2023,11,1071,1
2025,14,367,3
2025,14,369,1
2026,6,1,5
2026,14,369,1
2027,6,2,5
2029,14,370,2
2031,14,574,0
2032,14,574,4
2033,14,577,7
2034,14,578,6
2035,14,579,5
2036,14,580,5
2037,14,581,3
2038,14,594,4
2039,5,733,0
2040,14,583,4
2041,14,584,0
2054,6,1069,3
2058,14,618,0
2060,12,137,3
2070,5,445,0
2072,5,448,2
2073,5,445,1
2074,5,446,2
2075,5,447,2
2076,15,860,5
2083,14,370,2
2095,14,284,7
2096,14,285,4
2098,14,388,3
2099,14,391,1
2100,5,1031,1
2102,11,1195,1
2103,14,291,0
2104,12,137,3
2122,8,912,5
2123,8,913,4
2127,16,342,1
2128,12,137,3
2138,14,291,1
2174,15,477,0
2175,15,478,0
2176,14,736,4
2177,14,737,6
2178,9,871,3
2179,8,1419,3
2180,14,38,2
2180,14,39,1
2181,11,663,1
2182,11,663,3
2183,11,664,4
2184,14,272,7
2185,14,265,1
2186,14,39,1
2186,14,280,0
2187,14,281,7
2188,14,494,2
2189,14,282,1
2190,14,275,2
2192,5,1032,2
2193,14,94,2
2194,14,41,1
2194,14,42,3
2194,14,88,0
2196,14,45,2
2197,14,88,1
2198,14,46,1
2198,14,47,1
2198,14,88,1
2199,14,89,0
2202,5,1223,4
2203,12,136,1
2210,14,808,0
2212,5,666,5
2213,5,716,3
2213,5,667,2
2216,5,712,3
2218,5,713,4
2219,5,668,6
2220,5,669,5
2221,5,775,5
2222,5,776,3
2222,5,670,3
2223,5,671,4
2227,5,778,6
2228,5,779,2
2229,5,780,3
2231,14,130,4
2233,5,672,4
2235,14,189,2
2235,11,947,3
2244,5,776,5
2245,5,777,2
2254,5,1077,2
2256,5,1078,8
2257,5,1079,0
2258,5,1082,3
2259,5,1083,4
2260,5,1084,7
2261,5,1085,5
2262,5,769,5
2263,5,770,1
2264,5,771,6
2265,5,772,3
2266,5,774,0
2268,5,794,6
2269,5,795,6
2277,5,787,6
2278,5,788,4
2279,5,789,3
2280,5,790,4
2286,5,787,1
2287,5,846,0
2293,14,53,1
2294,14,54,3
2295,8,569,4
2299,14,52,2
2303,14,53,2
2304,14,54,3
2305,14,808,5
2306,14,809,1
2307,14,810,1
2308,14,811,2
2309,14,812,5
2310,14,813,7
2311,5,854,2
2313,14,815,2
2314,14,78,3
2316,14,95,2
2322,14,866,4
2323,14,835,5
2324,14,834,4
2325,14,837,3
2326,14,838,4
2327,14,68,2
2328,14,69,0
2329,14,68,0
2329,14,69,0
2331,14,824,3
2332,14,825,4
2334,14,63,3
2336,14,65,7
2337,14,66,4
2338,14,59,3
2339,14,60,1
2341,14,68,3
2343,14,77,4
2344,14,79,5
2345,14,94,2
2346,14,76,4
2347,14,69,3
2348,14,70,6
2349,14,72,5
2350,14,111,4
2351,14,74,2
2352,14,73,1
2353,14,102,7
2354,14,103,2
2355,14,104,2
2356,14,866,6
2357,14,79,4
2367,14,105,6
2368,14,106,6
2369,14,107,5
2370,14,108,2
2371,14,109,4
2373,14,84,6
2375,14,83,5
2376,14,868,6
2386,14,50,1
2387,14,50,0
2389,14,52,4
2390,14,52,4
2395,5,4,0
2401,8,781,1
2402,15,475,1
2402,11,930,1
2405,5,4,1
2411,14,582,3
2443,14,297,1
2448,14,291,0
2449,5,1078,1
2449,14,294,4
2450,14,295,1
2452,14,285,4
2455,14,300,4
2467,14,291,1
2488,12,136,1
2497,6,1070,3
2499,8,906,4
2519,5,60,0
2520,5,61,2
2531,2,154,2
2532,2,1006,2
2533,2,1006,0
2538,14,388,4
2542,5,1031,2
2557,5,1344,3
2560,5,1345,3
2562,5,1346,0
2563,5,1348,3
2564,5,1120,4
2565,5,1121,0
2572,8,61,1
2572,8,66,0
2573,8,68,1
2573,5,1339,1
2574,5,53,0
2574,5,4,0
2578,8,83,0
2579,8,84,5
2581,8,85,2
2582,8,73,5
2583,8,74,5
2584,8,75,0
2587,8,87,6
2597,8,64,3
2598,8,66,2
2599,8,66,0
2601,14,653,5
2602,14,654,2
2602,11,14,2
-20,17,2,5
